iter	Logloss
0	0.5761614209
1	0.4898442235
2	0.432632685
3	0.3862073052
4	0.3509845958
5	0.3226876535
6	0.3016091539
7	0.2903633416
8	0.2778710458
9	0.2671382077
10	0.2579934578
11	0.2490500018
12	0.2436750281
13	0.2388465612
14	0.2352035778
15	0.2333102029
16	0.2313752016
17	0.2295204425
18	0.2287311768
19	0.2275418871
20	0.2254982194
21	0.2234772763
22	0.2213349851
23	0.2182293365
24	0.2179836635
25	0.2174443519
26	0.2168236036
27	0.2159750728
28	0.2145677081
29	0.2138069874
30	0.2125525632
31	0.2121256333
32	0.2120604091
33	0.211570787
34	0.2113073457
35	0.2107138701
36	0.210130814
37	0.2096509344
38	0.2093376284
39	0.2090907433
40	0.2088693066
41	0.2088218065
42	0.2085102776
43	0.2082351321
44	0.207976219
45	0.2076348016
46	0.207321747
47	0.2070788203
48	0.2069374983
49	0.2067848395
50	0.2062802472
51	0.2060948768
52	0.205378308
53	0.2052594731
54	0.2039539765
55	0.2039422402
56	0.203249738
57	0.2027842602
58	0.202782829
59	0.2026582547
60	0.2024713009
61	0.2023708931
62	0.2021922869
63	0.2021626242
64	0.2020918972
65	0.2018737606
66	0.2016356382
67	0.2015225646
68	0.2011825264
69	0.2008608612
70	0.2006215976
71	0.2002944242
72	0.2001541171
73	0.1999747351
74	0.1999484787
75	0.1997869035
76	0.1997846143
77	0.1996486208
78	0.1993186845
79	0.1990364516
80	0.1987622834
81	0.1986783633
82	0.1983758962
83	0.1980772247
84	0.1980502753
85	0.1978169291
86	0.197465229
87	0.1971821048
88	0.1968928112
89	0.1966353643
90	0.1962796479
91	0.1960016682
92	0.1957583899
93	0.1954536318
94	0.195288276
95	0.1951047554
96	0.1950759914
97	0.194773812
98	0.1944153517
99	0.1942004041
100	0.193912816
101	0.1933876194
102	0.1930160165
103	0.1927475274
104	0.1923837565
105	0.191935341
106	0.1915821374
107	0.1912623653
108	0.1908474419
109	0.190655305
110	0.1902746119
111	0.19019327
112	0.1901611655
113	0.1901175531
114	0.1899505378
115	0.1896136569
116	0.189107115
117	0.1890129121
118	0.1886570315
119	0.1884238558
120	0.1882299379
121	0.1877826788
122	0.1875704247
123	0.1871740495
124	0.1870266484
125	0.1868324529
126	0.1865268316
127	0.1864416549
128	0.1862043594
129	0.1859654067
