iter	Passed	Remaining
0	285	142573
1	352	87831
2	413	68460
3	574	71275
4	706	69945
5	778	64071
6	848	59765
7	894	55017
8	927	50613
9	997	48874
10	1066	47398
11	1132	46056
12	1201	45027
13	1279	44409
14	1331	43060
15	1397	42278
16	1459	41456
17	1531	41022
18	1614	40865
19	1694	40667
20	1839	41960
21	1961	42619
22	2038	42283
23	2127	42194
24	2198	41775
25	2266	41314
26	2343	41054
27	2424	40868
28	2495	40524
29	2562	40141
30	2626	39739
31	2718	39754
32	2801	39650
33	2885	39551
34	2998	39835
35	3059	39437
36	3123	39088
37	3186	38738
38	3250	38419
39	3343	38446
40	3416	38252
41	3469	37829
42	3539	37612
43	3601	37324
44	3665	37065
45	3736	36873
46	3805	36674
47	3875	36490
48	3967	36513
49	4027	36244
50	4100	36104
51	4170	35928
52	4268	36000
53	4387	36238
54	4466	36136
55	4496	35652
56	4589	35669
57	4690	35747
58	4714	35242
59	4770	34985
60	4844	34865
61	4919	34752
62	4999	34677
63	5069	34536
64	5150	34467
65	5270	34659
66	5349	34570
67	5432	34513
68	5504	34380
69	5579	34272
70	5653	34160
71	5731	34071
72	5809	33984
73	5878	33841
74	5963	33795
75	6053	33774
76	6083	33420
77	6153	33290
78	6227	33189
79	6294	33045
80	6365	32929
81	6453	32897
82	6525	32786
83	6591	32644
84	6660	32517
85	6725	32377
86	6798	32272
87	6867	32151
88	6930	32006
89	6998	31880
90	7063	31747
91	7134	31640
92	7216	31583
93	7294	31505
94	7362	31385
95	7439	31309
96	7547	31356
97	7615	31237
98	7704	31207
99	7808	31232
100	7895	31190
101	7979	31137
102	8060	31067
103	8134	30975
104	8218	30916
105	8296	30836
106	8364	30720
107	8442	30642
108	8508	30521
109	8572	30392
110	8640	30279
111	8711	30178
112	8777	30059
113	8840	29933
114	8906	29816
115	8971	29697
116	9034	29575
117	9102	29468
118	9193	29435
119	9457	29949
120	9567	29966
121	9631	29842
122	9698	29725
123	9809	29744
124	9886	29659
125	9953	29545
126	10019	29427
127	10084	29309
128	10152	29197
129	10232	29122
130	10316	29059
131	10389	28965
132	10467	28885
133	10538	28783
134	10608	28682
135	10684	28596
136	10763	28519
137	10832	28414
138	10902	28315
139	10972	28215
140	11041	28113
141	11106	28001
142	11177	27905
143	11279	27886
144	11347	27781
145	11413	27673
146	11480	27568
147	11549	27469
148	11618	27369
149	11701	27302
150	11769	27202
151	11835	27096
152	11899	26986
153	11965	26884
154	12062	26849
155	12146	26783
156	12213	26683
157	12297	26617
158	12366	26522
159	12436	26428
160	12509	26340
161	12723	26546
162	12798	26459
163	12861	26350
164	12928	26248
165	12996	26150
166	13062	26046
167	13126	25939
168	13216	25886
169	13281	25782
170	13346	25678
171	13413	25579
172	13480	25480
173	13545	25377
174	13614	25284
175	13690	25202
176	13764	25118
177	13829	25017
178	13896	24920
179	13977	24848
180	14042	24749
181	14106	24646
182	14176	24557
183	14246	24467
184	14331	24402
185	14433	24366
186	14496	24264
187	14561	24165
188	14643	24096
189	14710	24002
190	14777	23906
191	14861	23840
192	14934	23756
193	15002	23664
194	15067	23566
195	15131	23468
196	15198	23375
197	15264	23282
198	15329	23186
199	15401	23102
